company_name,total_promoter_holding_pct,promoter_shares_encumbered,promoter_shares_encumbered_pct
Hindalco Industries Limited,    35.10,0,     0.00
Hinduja Global Solutions Limited,    67.71,0,     0.00
Hindustan Composites Limited,    74.97,0,     0.00
Hindustan Construction Company Limited,    18.59,239919286,    85.32
Hindustan Copper Limited,    66.14,0,     0.00
Hindustan Media Ventures Limited,    74.61,0,     0.00
Hindustan Motors Limited,    32.34,0,     0.00
Hindustan Oil Exploration Company Limited,     0.00,0,
Hindustan Petroleum Corporation Limited,    54.90,0,     0.00
Hindustan Unilever Limited,    61.90,0,     0.00
Hindustan Zinc Limited,    64.92,2697920004,    98.35
Hindusthan National Glass & Industries Limited,    70.73,61123840,    96.50
Hitech Corporation Limited,    74.43,0,     0.00
Honda India Power Products Limited,    66.67,0,     0.00
Honeywell Automation India Limited,    75.00,0,     0.00
Housing Development and Infrastructure Limited,    39.28,0,     0.00
Hubtown Limited,    47.85,25658025,    67.08
Huhtamaki India Limited,    67.73,0,     0.00
