symbol,market_cap
GENUSPOWER,9310.08
GEOJITFSL,2555.98
GEPIL,2637.33
GESHIP,16982.15
GFLLIMITED,800.81
GHCL,4978.77
GHCLTEXTIL,828.63
GICHSGFIN,1322.58
GICL,102.67
GICRE,66535.62
GILLANDERS,178.23
GILLETTE,24536.67
GILT5YBEES,152.64
GINNIFILA,269.8
GIPCL,4007.55
GIRIRAJ,953.11
GKWLIMITED,1437.93
GLAND,30147.09
GLAXO,43384.89
GLENMARK,34963.11
GLFL,19.26
GLOBAL,386.85
GLOBALPET,90.97
GLOBALVECT,309.39
GLOBE,91.28
GLOBUSSPR,2233.75
GLOSTERLTD,911.35
GLS,10408.68
GMBREW,1436.04
GMDCLTD,12640.5
GMMPFAUDLR,6069.23
GMRINFRA,59091.9
GNA,1725.39
GNFC,10223.4
GOACARBON,718.54
GOCLCORP,2230.76
GOCOLORS,5724.68
GODFRYPHLP,21733.46
GODHA,58.63
GODIGIT,30350.23
GODREJAGRO,11862.48
GODREJCP,142248.74
GODREJIND,27441.98
GODREJPROP,83581.14
GOENKA,28.53
GOKEX,5924.59
GOKUL,427.86
GOKULAGRO,2323.81
GOLD1,4025.93
GOLDBEES,11101.13
GOLDCASE,57.44
GOLDENTOBC,84.24
GOLDETF,235.38
GOLDETFADD,398.48
GOLDIAM,1714.06
GOLDIETF,4891.48
GOLDSHARE,1155.37
GOLDSTAR,352.63
GOLDTECH,414.43
GOODLUCK,2942.26
GOPAL,4186.08
GOYALALUM,131.31
GOYALSALT,321.04
GPIL,15106.89
GPPL,9673.15
GPTHEALTH,1239.03
GPTINFRA,1559.01
GRANULES,11344.07
GRAPHISAD,81.33
GRAPHITE,11663.92
GRASIM,161775.18
GRAVITA,9706.73
GRCL,192.54
GREAVESCOT,3014.24
GREENCHEF,163.14
GREENLAM,7727.15
GREENPANEL,3940.63
GREENPLY,3774.05
GREENPOWER,2004.6
GRINDWELL,30337.28
GRINFRA,16485.48
GRMOVER,1091.4
GROBTEA,108.37
GRPLTD,1453.33
GRSE,20300.33
GRWRHITECH,4748.59
GSEC10YEAR,83.59
GSEC5IETF,107.53
GSFC,9563.46
GSLSU,957.83
GSMFOILS,76.1
GSPL,17092.78
GSS,249.43
GSTL,41.81
GTECJAINX,66.44
GTL,188.76
GTLINFRA,3009.65
GTPL,1949.55
GUFICBIO,3597.96
GUJALKALI,5639.86
GUJAPOLLO,305.48
GUJGASLTD,42129.48
GUJRAFFIA,24.94
GULFOILLUB,4863.02
GULFPETRO,346.69
GULPOLY,1247.1
GVKPIL,1762.4
GVPTECH,222.47
HAL,355387.04
HAPPSTMNDS,13506.78
HAPPYFORGE,11257.48
HARDWYN,1133.86
HARIOMPIPE,1648.05
HARRMALAYA,380.83
HARSHA,5198.62
HATHWAY,4042.92
HATSUN,24480.03
HAVELLS,113761.77
HAVISHA,40.69
HBLPOWER,14131.4
HBSL,76.67
HCC,8012.14
HCG,5323.65
HCL-INSYS,570.52
HCLTECH,391853.24
HDFCAMC,83295.69
HDFCBANK,1260256.8
HDFCBSE500,7.45
HDFCGOLD,4381.89
HDFCGROWTH,9.71
HDFCLIFE,127916.65
HDFCLIQUID,18.56
HDFCLOWVOL,31.63
HDFCMID150,82.12
HDFCMOMENT,92.11
HDFCNEXT50,89.16
HDFCNIF100,46.63
HDFCNIFBAN,5069.25
HDFCNIFIT,108.81
HDFCNIFTY,3257.57
HDFCPSUBK,24.01
HDFCPVTBAN,676.19
HDFCQUAL,12.46
HDFCSENSEX,1010.42
HDFCSILVER,194.93
HDFCSML250,371.54
HDFCVALUE,28.04
HEADSUP,26.5
HEALTHADD,9.25
HEALTHIETF,122.21
HEALTHY,48.3
HECPROJECT,116.59
HEG,8934.86
HEIDELBERG,4866.52
HEMIPROP,5489.96
HERANBA,1468.49
HERCULES,1817.92
HERITGFOOD,5321.85
HEROMOTOCO,112881.1
HESTERBIO,1783.04
HEUBACHIND,904.81
HEXATRADEX,903.53
HFCL,18300.3
HGINFRA,11300.67
HGS,3977.48
HIGREEN,414.33
HIKAL,3732.93
HIL,2153.76
HILTON,226.91
HIMATSEIDE,1281.12
HINDALCO,149293.83
HINDCOMPOS,673.47
HINDCON,275.61
HINDCOPPER,31621.69
HINDMOTORS,736.78
HINDNATGLS,175.26
HINDOILEXP,2604.87
HINDPETRO,73324.76
HINDUNILVR,577059.61
HINDWAREAP,2920.77
HINDZINC,267040.16
HIRECT,1151.75
HISARMETAL,106.79
HITECH,2015.22
HITECHCORP,368.59
HITECHGEAR,1825.24
HLEGLAS,2914.2
HLVLTD,1747.04
HMAAGRO,2739.21
HMT,6929.55
HMVL,769.87
HNDFDS,5671.38
HNGSNGBEES,588.64
HOACFOODS,77.25
HOLMARC,116.03
HOMEFIRST,9584.57
HOMESFY,232.5
HONASA,13814.42
HONAUT,48849.41
HONDAPOWER,3718.45
HOVS,82.56
HPAL,900.46
