ticker,company_name,regulation,person_name,person_category,type_of_security_prior,no_of_security_prior,pct_shareholding_prior,type_of_security_acquired,no_of_securities_acquired,value_of_securities_acquired,transaction_type,type_of_security_post,no_of_security_post,pct_post,date_of_allotment_acquisition_from,date_of_allotment_acquisition_to,date_of_intimation_to_company,mode_of_acquisition,derivative_type_security,derivative_contract_specification,notional_value_buy,units_contract_lot_size_buy,notional_value_sell,units_contract_lot_size_sell,exchange,remark,broadcast_date_and_time,xbrl_link
MAXESTATES,Max Estates Limited,7(2),SIVA ENTERPRISES PRIVATE LIMITED,Promoters,Equity Shares,33984573,23.1,Equity Shares,7393,2482501,Buy,Equity Shares,33991966,23.1,04-Jun-2024,04-Jun-2024,05-Jun-2024,Market Purchase,-,-,-,-,-,-,NSE,-,05-Jun-2024 20:52,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165130_1153871_05062024085238_WEB.xml
ADANIENSOL,Adani Energy Solutions Limited,7(2),Emerging Market Investment DMCC,Promoter Group,Equity Shares,2200000,0.2,Equity Shares,1800000,2200073183,Buy,Equity Shares,4000000,0.36,03-Jun-2024,03-Jun-2024,04-Jun-2024,Market Purchase,-,-,-,-,-,-,NSE,-,05-Jun-2024 19:26,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165128_1153830_05062024072621_WEB.xml
APOLLO,Apollo Micro Systems Limited,7(2),Addepalli Krishna Sai Kumar,Director,Equity Shares,416210,0.14,Equity Shares,1754000,32624400,Buy,Equity Shares,2170210,0.7,03-Jun-2024,03-Jun-2024,04-Jun-2024,Conversion of security,-,-,-,-,-,-,NA,-,05-Jun-2024 19:22,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165126_1153825_05062024072221_WEB.xml
APOLLO,Apollo Micro Systems Limited,7(2),CHANDRAPATI VENKATA SIVA PRASAD,Director,Equity Shares,500820,0.17,Equity Shares,290000,5394000,Buy,Equity Shares,790820,0.26,03-Jun-2024,03-Jun-2024,04-Jun-2024,Conversion of security,-,-,-,-,-,-,NA,-,05-Jun-2024 19:22,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165126_1153825_05062024072221_WEB.xml
APOLLO,Apollo Micro Systems Limited,7(2),KARUNAKAR REDDY BADDAM,Promoters,Equity Shares,166762900,55.8,Equity Shares,2160000,40176000,Buy,Equity Shares,168922900,55.12,03-Jun-2024,03-Jun-2024,04-Jun-2024,Conversion of security,-,-,-,-,-,-,NA,-,05-Jun-2024 19:22,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165126_1153825_05062024072221_WEB.xml
ASHIANA,Ashiana Housing Limited,7(2),Shantanu Haldule,-,Equity Shares,35487,0.04,Equity Shares,6100,2225036,Buy,Equity Shares,41587,0.04,03-Jun-2024,03-Jun-2024,05-Jun-2024,Market Purchase,-,-,-,-,-,-,NSE,-,05-Jun-2024 19:22,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165125_1153823_05062024072220_WEB.xml
ADANIENSOL,Adani Energy Solutions Limited,7(2),Emerging Market Investment DMCC,Promoter Group,Equity Shares,Nil,0,Equity Shares,2200000,2472939246,Buy,Equity Shares,2200000,0.2,31-May-2024,31-May-2024,04-Jun-2024,Market Purchase,-,-,-,-,-,-,NSE,-,05-Jun-2024 19:16,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165122_1153817_05062024071622_WEB.xml
LTIM,LTIMindtree Limited,7(2),Deepak T A,Employees/Designated Employees,Equity Shares,349,0,Equity Shares,349,1652332,Sell,Equity Shares,Nil,0,28-May-2024,05-Jun-2024,05-Jun-2024,Market Sale,-,-,-,-,-,-,NSE,-,05-Jun-2024 19:06,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165120_1153804_05062024070625_WEB.xml
LT,Larsen & Toubro Limited,7(2),SRAVANKUMAR Y V S,Employees/Designated Employees,Equity Shares,23646,0,Equity Shares,100,387500,Sell,Equity Shares,23546,0,03-Jun-2024,03-Jun-2024,03-Jun-2024,Market Sale,-,-,-,-,-,-,NSE,-,05-Jun-2024 18:48,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165119_1153775_05062024064831_WEB.xml
LT,Larsen & Toubro Limited,7(2),SEN DK,Employees/Designated Employees,Equity Shares,42695,0,Equity Shares,900,3037500,Buy,Equity Shares,43595,0,04-Jun-2024,04-Jun-2024,04-Jun-2024,Market Purchase,-,-,-,-,-,-,NSE,-,05-Jun-2024 18:48,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165119_1153775_05062024064831_WEB.xml
LT,Larsen & Toubro Limited,7(2),SEN DK,Employees/Designated Employees,Equity Shares,41695,0,Equity Shares,1000,3242000,Buy,Equity Shares,42695,0,13-May-2024,13-May-2024,03-Jun-2024,Market Purchase,-,-,-,-,-,-,NSE,-,05-Jun-2024 18:48,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165119_1153775_05062024064831_WEB.xml
LT,Larsen & Toubro Limited,7(2),IMRANKHAN BABU MAZHAR ALIKHAN,-,Equity Shares,730,0,Equity Shares,300,1170624,Sell,Equity Shares,430,0,03-Jun-2024,03-Jun-2024,03-Jun-2024,Market Sale,-,-,-,-,-,-,NSE,-,05-Jun-2024 18:48,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165119_1153775_05062024064831_WEB.xml
LT,Larsen & Toubro Limited,7(2),IMRANKHAN BABU MAZHAR ALIKHAN,-,Equity Shares,65,0,Equity Shares,665,177622,Buy,Equity Shares,730,0,08-May-2024,08-May-2024,03-Jun-2024,ESOP,-,-,-,-,-,-,NA,-,05-Jun-2024 18:48,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165119_1153775_05062024064831_WEB.xml
LT,Larsen & Toubro Limited,7(2),SRAVANKUMAR Y V S,Employees/Designated Employees,Equity Shares,23746,0,Equity Shares,100,357500,Sell,Equity Shares,23646,0,23-May-2024,23-May-2024,03-Jun-2024,Market Sale,-,-,-,-,-,-,NSE,-,05-Jun-2024 18:48,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165119_1153775_05062024064831_WEB.xml
LT,Larsen & Toubro Limited,7(2),SRAVANKUMAR Y V S,Employees/Designated Employees,Equity Shares,23846,0,Equity Shares,100,355000,Sell,Equity Shares,23746,0,23-May-2024,23-May-2024,03-Jun-2024,Market Sale,-,-,-,-,-,-,NSE,-,05-Jun-2024 18:48,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165119_1153775_05062024064831_WEB.xml
M&M,Mahindra & Mahindra Limited,7(2),Rajesh Jejurikar,Director,Equity Shares,89466,0.01,Equity Shares,8200,21951917,Sell,Equity Shares,81266,0.01,05-Jun-2024,05-Jun-2024,05-Jun-2024,Market Sale,-,-,-,-,-,-,BSE,-,05-Jun-2024 18:42,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165117_1153764_05062024064244_WEB.xml
JAYAGROGN,Jayant Agro Organics Limited,7(2),Pushpa Vijaysinh Udeshi,Promoter Group,Equity Shares,Nil,0,Equity Shares,24000,0,Buy,Equity Shares,24000,0.08,03-Jun-2024,03-Jun-2024,04-Jun-2024,Inter-se-Transfer,-,-,-,-,-,-,NA,-,05-Jun-2024 18:40,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165115_1153761_05062024064020_WEB.xml
JAYAGROGN,Jayant Agro Organics Limited,7(2),Pushpa Vijaysinh Udeshi,Promoter Group,Equity Shares,24000,0.08,Equity Shares,24000,0,Sell,Equity Shares,Nil,0,03-Jun-2024,03-Jun-2024,04-Jun-2024,Inter-se-Transfer,-,-,-,-,-,-,NA,-,05-Jun-2024 18:40,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165115_1153761_05062024064020_WEB.xml
BAHETI,Baheti Recycling Industries Limited,7(2),SHANKERLAL BANSILAL SHAH,Promoters,Equity Shares,2884000,27.81,Equity Shares,60000,18260418,Buy,Equity Shares,2944000,28.39,03-Jun-2024,03-Jun-2024,03-Jun-2024,Market Purchase,-,-,-,-,-,-,NSE,-,05-Jun-2024 18:18,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165113_1153739_05062024061842_WEB.xml
SNOWMAN,Snowman Logistics Limited,7(2),GATEWAY DISTRIPARKS LIMITED,Promoters,Equity Shares,76113245,45.55,Equity Shares,562081,37509801,Buy,Equity Shares,76675326,45.89,05-Jun-2024,05-Jun-2024,05-Jun-2024,Market Purchase,-,-,-,-,-,-,NSE,-,05-Jun-2024 18:03,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165110_1153707_05062024060311_WEB.xml
APOLLOHOSP,Apollo Hospitals Enterprise Limited,7(2),K VISHWESHWAR REDDY,Promoters,Equity Shares,1577350,1.1,Equity Shares,45000,263300000,Pledge,Equity Shares,1577350,1.1,04-Jun-2024,04-Jun-2024,05-Jun-2024,Pledge Creation,-,-,-,-,-,-,NA,-,05-Jun-2024 18:02,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165109_1153704_05062024060204_WEB.xml
APOLLOHOSP,Apollo Hospitals Enterprise Limited,7(2),K VISHWESHWAR REDDY,Promoters,Equity Shares,1577350,1.1,Equity Shares,45000,263300000,Pledge Revoke,Equity Shares,1577350,1.1,03-Jun-2024,03-Jun-2024,05-Jun-2024,Revokation of Pledge,-,-,-,-,-,-,NA,-,05-Jun-2024 18:02,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165109_1153704_05062024060204_WEB.xml
SANGINITA,Sanginita Chemicals Limited,7(2),Hansaben D Chavada,Promoter Group,Equity Shares,577660,3.35,Equity Shares,288800,5198400,Buy,Equity Shares,866460,3.35,01-Jun-2024,01-Jun-2024,03-Jun-2024,Public Right,-,-,-,-,-,-,NSE,-,05-Jun-2024 17:41,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165106_1153663_05062024054158_WEB.xml
SANGINITA,Sanginita Chemicals Limited,7(2),Vijaysinh Dineshsinh Chavda,Promoters,Equity Shares,447221,2.59,Equity Shares,118300,2129400,Buy,Equity Shares,565521,2.18,01-Jun-2024,01-Jun-2024,03-Jun-2024,Public Right,-,-,-,-,-,-,NSE,-,05-Jun-2024 17:41,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165106_1153663_05062024054158_WEB.xml
SANGINITA,Sanginita Chemicals Limited,7(2),Dineshsinh B. Chavada,Promoters,Equity Shares,2925900,16.94,Equity Shares,974500,17541000,Buy,Equity Shares,3900400,15.06,01-Jun-2024,01-Jun-2024,03-Jun-2024,Public Right,-,-,-,-,-,-,NSE,-,05-Jun-2024 17:41,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165106_1153663_05062024054158_WEB.xml
NAVA,NAVA LIMITED,7(2),AV DWELLINGS  PRIVATE LIMITED,Promoter Group,Equity Shares,2405000,1.66,Equity Shares,10000,4908606,Buy,Equity Shares,2415000,1.66,04-Jun-2024,04-Jun-2024,05-Jun-2024,Market Purchase,-,-,-,-,-,-,NSE,-,05-Jun-2024 17:32,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165104_1153642_05062024053205_WEB.xml
CONCORDBIO,Concord Biotech Limited,7(2),Ravi Kapoor,Director,Equity Shares,220000,0.21,Equity Shares,10000,0,Sell,Equity Shares,210000,0.2,04-Jun-2024,04-Jun-2024,04-Jun-2024,Gift,-,-,-,-,-,-,NA,-,05-Jun-2024 17:22,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165102_1153608_05062024052230_WEB.xml
SBCL,Shivalik Bimetal Controls Limited,7(2),TSL Holdings Private Limited,Promoters,Equity Shares,3375400,5.86,Equity Shares,4000,2029640,Buy,Equity Shares,3379400,5.87,04-Jun-2024,04-Jun-2024,05-Jun-2024,Market Purchase,-,-,-,-,-,-,NSE,-,05-Jun-2024 17:21,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165101_1153602_05062024052124_WEB.xml
GHCLTEXTIL,Ghcl Textiles Limited,7(2),Neelabh Dalmia,Director,Equity Shares,168150,0.18,Equity Shares,501,37072,Buy,Equity Shares,168651,0.18,04-Jun-2024,04-Jun-2024,05-Jun-2024,Market Purchase,-,-,-,-,-,-,NSE,-,05-Jun-2024 17:06,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165098_1153549_05062024050649_WEB.xml
VIPIND,VIP Industries Limited,7(2),Sunil Kolhe,-,Equity Shares,38398,0,Equity Shares,3000,1453023,Sell,Equity Shares,35398,0,05-Jun-2024,05-Jun-2024,05-Jun-2024,Market Sale,-,-,-,-,-,-,NSE,-,05-Jun-2024 17:03,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165095_1153541_05062024050303_WEB.xml
MAPMYINDIA,C.E. Info Systems Limited,7(2),Pradeep Prasad Gupta,-,Equity Shares,11436,0.02,Equity Shares,2500,4855920,Sell,Equity Shares,8936,0.02,23-May-2024,30-May-2024,03-May-2024,Market Sale,-,-,-,-,-,-,NSE,-,05-Jun-2024 17:00,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165093_1153536_05062024050013_WEB.xml
DBCORP,D.B.Corp Limited,7(2),Sudhir Agarwal,Promoters,Equity Shares,6000449,3.37,Equity Shares,22939,6855388,Buy,Equity Shares,6023388,3.38,30-May-2024,30-May-2024,03-Jun-2024,Market Purchase,-,-,-,-,-,-,NSE,-,05-Jun-2024 16:55,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165091_1153522_05062024045552_WEB.xml
DBCORP,D.B.Corp Limited,7(2),Sudhir Agarwal,Promoters,Equity Shares,5999388,3.37,Equity Shares,1061,317083,Buy,Equity Shares,6000449,3.37,30-May-2024,30-May-2024,03-Jun-2024,Market Purchase,-,-,-,-,-,-,BSE,-,05-Jun-2024 16:55,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165091_1153522_05062024045552_WEB.xml
DBCORP,D.B.Corp Limited,7(2),Pawan Agarwal,Promoters,Equity Shares,6156000,3.46,Equity Shares,5000,1470554,Buy,Equity Shares,6161000,3.46,03-Jun-2024,03-Jun-2024,04-Jun-2024,Market Purchase,-,-,-,-,-,-,BSE,-,05-Jun-2024 16:55,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165091_1153522_05062024045552_WEB.xml
DBCORP,D.B.Corp Limited,7(2),Pawan Agarwal,Promoters,Equity Shares,6024965,3.38,Equity Shares,131035,38538808,Buy,Equity Shares,6156000,3.46,03-Jun-2024,03-Jun-2024,04-Jun-2024,Market Purchase,-,-,-,-,-,-,NSE,-,05-Jun-2024 16:55,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165091_1153522_05062024045552_WEB.xml
DBCORP,D.B.Corp Limited,7(2),Pawan Agarwal,Promoters,Equity Shares,6024365,3.38,Equity Shares,600,180090,Buy,Equity Shares,6024965,3.38,30-May-2024,30-May-2024,03-Jun-2024,Market Purchase,-,-,-,-,-,-,NSE,-,05-Jun-2024 16:55,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165091_1153522_05062024045552_WEB.xml
DBCORP,D.B.Corp Limited,7(2),Girish Agarwal,Promoters,Equity Shares,6050397,3.4,Equity Shares,8906,2669858,Buy,Equity Shares,6059303,3.4,31-May-2024,31-May-2024,03-Jun-2024,Market Purchase,-,-,-,-,-,-,BSE,-,05-Jun-2024 16:55,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165091_1153522_05062024045552_WEB.xml
DBCORP,D.B.Corp Limited,7(2),Girish Agarwal,Promoters,Equity Shares,6059303,3.4,Equity Shares,92865,27577004,Buy,Equity Shares,6152168,3.45,03-Jun-2024,03-Jun-2024,04-Jun-2024,Market Purchase,-,-,-,-,-,-,NSE,-,05-Jun-2024 16:55,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165091_1153522_05062024045552_WEB.xml
DBCORP,D.B.Corp Limited,7(2),Sudhir Agarwal,Promoters,Equity Shares,6155358,3.46,Equity Shares,5642,1653825,Buy,Equity Shares,6161000,3.46,03-Jun-2024,03-Jun-2024,04-Jun-2024,Market Purchase,-,-,-,-,-,-,BSE,-,05-Jun-2024 16:55,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165091_1153522_05062024045552_WEB.xml
DBCORP,D.B.Corp Limited,7(2),Sudhir Agarwal,Promoters,Equity Shares,6023388,3.38,Equity Shares,131970,38684049,Buy,Equity Shares,6155358,3.46,03-Jun-2024,03-Jun-2024,04-Jun-2024,Market Purchase,-,-,-,-,-,-,NSE,-,05-Jun-2024 16:55,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165091_1153522_05062024045552_WEB.xml
DBCORP,D.B.Corp Limited,7(2),Girish Agarwal,Promoters,Equity Shares,6013354,3.38,Equity Shares,37043,11101177,Buy,Equity Shares,6050397,3.4,30-May-2024,31-May-2024,03-Jun-2024,Market Purchase,-,-,-,-,-,-,NSE,-,05-Jun-2024 16:55,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165091_1153522_05062024045552_WEB.xml
DBCORP,D.B.Corp Limited,7(2),Girish Agarwal,Promoters,Equity Shares,6152168,3.45,Equity Shares,8832,2622733,Buy,Equity Shares,6161000,3.46,03-Jun-2024,03-Jun-2024,04-Jun-2024,Market Purchase,-,-,-,-,-,-,BSE,-,05-Jun-2024 16:55,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165091_1153522_05062024045552_WEB.xml
MANAKALUCO,Manaksia Aluminium Company Limited,7(2),SUSHIL KUMAR AGRAWAL & SONS HUF,Promoter Group,Equity Shares,338250,0.52,Equity Shares,338250,8828325,Sell,Equity Shares,Nil,0,04-Jun-2024,04-Jun-2024,05-Jun-2024,Inter-se-Transfer,-,-,-,-,-,-,BSE,-,05-Jun-2024 16:53,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165089_1153515_05062024045301_WEB.xml
MANAKALUCO,Manaksia Aluminium Company Limited,7(2),SUNIL KUMAR AGRAWAL,Promoter Group,Equity Shares,28044938,42.79,Equity Shares,338250,8828325,Buy,Equity Shares,28383188,43.31,04-Jun-2024,04-Jun-2024,05-Jun-2024,Inter-se-Transfer,-,-,-,-,-,-,BSE,-,05-Jun-2024 16:53,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165089_1153515_05062024045301_WEB.xml
SUNTV,Sun TV Network Limited,7(2),MR. SHANMUGASUNDARAM SELVAM,Director,Equity Shares,6830724,1.72,Equity Shares,5000,3425089,Sell,Equity Shares,6825724,1.72,04-Jun-2024,04-Jun-2024,04-Jun-2024,Market Sale,-,-,-,-,-,-,BSE,-,05-Jun-2024 16:53,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165090_1153516_05062024045301_WEB.xml
SUNTV,Sun TV Network Limited,7(2),MR. SHANMUGASUNDARAM SELVAM,Director,Equity Shares,6839805,1.73,Equity Shares,9081,6067943,Sell,Equity Shares,6830724,1.72,03-Jun-2024,03-Jun-2024,03-Jun-2024,Market Sale,-,-,-,-,-,-,BSE,-,05-Jun-2024 16:53,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165090_1153516_05062024045301_WEB.xml
SUNTV,Sun TV Network Limited,7(2),MR. SHANMUGASUNDARAM SELVAM,Director,Equity Shares,6844805,1.73,Equity Shares,5000,3300451,Sell,Equity Shares,6839805,1.73,31-May-2024,31-May-2024,03-Jun-2024,Market Sale,-,-,-,-,-,-,BSE,-,05-Jun-2024 16:53,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165090_1153516_05062024045301_WEB.xml
RGL,Renaissance Global Limited,7(2),Seema Atul Shah,Immediate relative,Equity Shares,1000320,1.04,Equity Shares,670000,0,Buy,Equity Shares,1670320,1.74,03-Jun-2024,03-Jun-2024,05-Jun-2024,Gift,-,-,-,-,-,-,NA,-,05-Jun-2024 16:43,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165086_1153491_05062024044305_WEB.xml
RGL,Renaissance Global Limited,7(2),Niranjan Amritlal Shah,Promoters,Equity Shares,393860,0.41,Equity Shares,10105,0,Sell,Equity Shares,383755,0.4,03-Jun-2024,03-Jun-2024,05-Jun-2024,Gift,-,-,-,-,-,-,NA,-,05-Jun-2024 16:43,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165086_1153491_05062024044305_WEB.xml
RGL,Renaissance Global Limited,7(2),Bhupen Chandrakant Shah,Promoters,Equity Shares,2669895,2.78,Equity Shares,10105,0,Buy,Equity Shares,2680000,2.79,03-Jun-2024,03-Jun-2024,05-Jun-2024,Gift,-,-,-,-,-,-,NA,-,05-Jun-2024 16:43,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165086_1153491_05062024044305_WEB.xml
RGL,Renaissance Global Limited,7(2),Pallavi Amit Shah,Promoter Group,Equity Shares,670000,0.7,Equity Shares,670000,0,Sell,Equity Shares,Nil,0,03-Jun-2024,03-Jun-2024,05-Jun-2024,Gift,-,-,-,-,-,-,NA,-,05-Jun-2024 16:43,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165086_1153491_05062024044305_WEB.xml
RGL,Renaissance Global Limited,7(2),Amit Chandrakant Shah,Promoters,Equity Shares,670000,0.7,Equity Shares,670000,0,Sell,Equity Shares,Nil,0,03-Jun-2024,03-Jun-2024,05-Jun-2024,Gift,-,-,-,-,-,-,NA,-,05-Jun-2024 16:43,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165086_1153491_05062024044305_WEB.xml
RGL,Renaissance Global Limited,7(2),Jyotsna Mahendra Shah,Promoter Group,Equity Shares,2088320,2.17,Equity Shares,670000,0,Sell,Equity Shares,1418320,1.48,03-Jun-2024,03-Jun-2024,05-Jun-2024,Gift,-,-,-,-,-,-,NA,-,05-Jun-2024 16:43,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165086_1153491_05062024044305_WEB.xml
RGL,Renaissance Global Limited,7(2),Parag Shah,Employees/Designated Employees,Equity Shares,1591625,1.66,Equity Shares,670000,0,Buy,Equity Shares,2261625,2.35,03-Jun-2024,03-Jun-2024,05-Jun-2024,Gift,-,-,-,-,-,-,NA,-,05-Jun-2024 16:43,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165086_1153491_05062024044305_WEB.xml
SUNDARMFIN,Sundaram Finance Limited,7(2),Mrs Sashi Parthasarathy,Promoter Group,Equity Shares,94186,0.08,Equity Shares,1300,5816069,Sell,Equity Shares,92886,0.08,04-Jun-2024,04-Jun-2024,05-Jun-2024,Market Sale,-,-,-,-,-,-,NSE,-,05-Jun-2024 16:40,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165085_1153486_05062024044040_WEB.xml
GHCL,GHCL Limited,7(2),Neelabh Dalmia,Promoters,Equity Shares,121700,0.13,Equity Shares,501,248692,Buy,Equity Shares,122201,0.13,04-Jun-2024,04-Jun-2024,05-Jun-2024,Market Purchase,-,-,-,-,-,-,NSE,-,05-Jun-2024 16:36,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165083_1153468_05062024043652_WEB.xml
PGEL,PG Electroplast Limited,7(2),Ruchi Pramod Gupta,Immediate relative,Equity Shares,57500,0.22,Equity Shares,4896,12391113,Buy,Equity Shares,62396,0.24,31-May-2024,04-Jun-2024,04-Jun-2024,Market Purchase,-,-,-,-,-,-,NSE,-,05-Jun-2024 16:35,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165081_1153464_05062024043546_WEB.xml
SHRENIK,Shrenik Limited,7(2),Shrenik Sudhir Vimawala,Promoters,Equity Shares,186782762,30.52,Equity Shares,400000,380000,Pledge Invoke,Equity Shares,186382762,30.45,21-May-2024,22-May-2024,05-Jun-2024,Invocation of pledge,-,-,-,-,-,-,NSE,-,05-Jun-2024 16:35,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165080_1153461_05062024043535_WEB.xml
LINC,Linc Limited,7(2),EKTA JALAN,Promoter Group,Equity Shares,479839,3.23,Equity Shares,5000,2734905,Buy,Equity Shares,484839,3.26,04-Jun-2024,04-Jun-2024,05-Jun-2024,Market Purchase,-,-,-,-,-,-,NSE,-,05-Jun-2024 16:32,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165077_1153451_05062024043223_WEB.xml
SUNDARMFIN,Sundaram Finance Limited,7(2),Sharath Vijayaraghavan,Promoter Group,Equity Shares,201298,0.18,Equity Shares,1500,6447822,Sell,Equity Shares,199798,0.18,04-Jun-2024,04-Jun-2024,05-Jun-2024,Market Sale,-,-,-,-,-,-,NSE,-,05-Jun-2024 16:29,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165074_1153438_05062024042928_WEB.xml
SUNDARMFIN,Sundaram Finance Limited,7(2),Sharath Vijayaraghavan,Promoter Group,Equity Shares,201798,0.18,Equity Shares,500,2247817,Sell,Equity Shares,201298,0.18,03-Jun-2024,03-Jun-2024,05-Jun-2024,Market Sale,-,-,-,-,-,-,NSE,-,05-Jun-2024 16:29,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165074_1153438_05062024042928_WEB.xml
INDOCO,Indoco Remedies Limited,7(2),MADHURA SURESH KARE,Promoters,Equity Shares,5205000,5.65,Equity Shares,4000,1200000,Buy,Equity Shares,5209000,5.65,04-Jun-2024,04-Jun-2024,05-Jun-2024,Market Purchase,-,-,-,-,-,-,NSE,-,05-Jun-2024 16:13,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165070_1153375_05062024041347_WEB.xml
INDOCO,Indoco Remedies Limited,7(2),ADITI MILIND PANANDIKAR,Promoters,Equity Shares,5601200,6.08,Equity Shares,7300,2157515,Buy,Equity Shares,5608500,6.08,04-Jun-2024,04-Jun-2024,05-Jun-2024,Market Purchase,-,-,-,-,-,-,NSE,-,05-Jun-2024 16:13,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165070_1153375_05062024041347_WEB.xml
MANAPPURAM,Manappuram Finance Limited,7(2),Nandakumar V P,Promoters,Equity Shares,245654221,0.29,Equity Shares,150000,24667035,Buy,Equity Shares,245804221,0.29,04-Jun-2024,04-Jun-2024,04-Jun-2024,Market Purchase,-,-,-,-,-,-,NSE,-,05-Jun-2024 16:12,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165069_1153365_05062024041205_WEB.xml
GULPOLY,Gulshan Polyols Limited,7(2),ANKUR PASARI,Promoter Group,Equity Shares,24000,0.03,Equity Shares,24000,3964340,Sell,Equity Shares,Nil,0,04-Jun-2024,04-Jun-2024,05-Jun-2024,Market Sale,-,-,-,-,-,-,BSE,-,05-Jun-2024 16:10,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165068_1153357_05062024041005_WEB.xml
GULPOLY,Gulshan Polyols Limited,7(2),ANKUR PASARI,Promoter Group,Equity Shares,25000,0.04,Equity Shares,1000,166811,Sell,Equity Shares,24000,0.03,04-Jun-2024,04-Jun-2024,05-Jun-2024,Market Sale,-,-,-,-,-,-,NSE,-,05-Jun-2024 16:10,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165068_1153357_05062024041005_WEB.xml
SHRENIK,Shrenik Limited,7(2),Shrenik Sudhir Vimawala,Promoters,Equity Shares,187582762,30.65,Equity Shares,800000,728000,Sell,Equity Shares,186782762,30.52,23-May-2024,31-May-2024,05-Jun-2024,Market Sale,-,-,-,-,-,-,NSE,-,05-Jun-2024 15:44,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165065_1153313_05062024034412_WEB.xml
GSTL,Globesecure Technologies Limited,7(2),RAGAVAN RAJKUMAR,Promoters,Equity Shares,2827080,31.04,Equity Shares,833333,32458320,Pledge Revoke,Equity Shares,2827080,31.04,04-Jun-2024,05-Jun-2024,05-Jun-2024,Revokation of Pledge,-,-,-,-,-,-,NA,-,05-Jun-2024 15:37,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165063_1153299_05062024033727_WEB.xml
